lethargy,vomiting,diarrhea,loss_of_appetite,coughing,sneezing,nasal_discharge,limping,scratching,ear_discharge,eye_discharge,swelling,seizure,fever,excessive_thirst,weight_loss,weight_gain,bad_breath,skin_redness,age_months,duration_days,illness,severity
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,161,883,osteoarthritis,moderate
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,115,5,conjunctivitis,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106,234,osteoarthritis,moderate
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,77,153,environmental_allergies,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55,867,dental_disease,mild
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,136,887,hypothyroidism,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,gastroenteritis,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,114,anxiety_behavioral,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,51,9,urinary_tract_infection,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45,334,obesity_related_strain,mild
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,10,kennel_cough,mild
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173,413,osteoarthritis,moderate
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,187,1,heatstroke,emergency
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,149,625,hypothyroidism,moderate
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173,301,osteoarthritis,moderate
1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,128,1,heatstroke,emergency
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,85,93,environmental_allergies,mild
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,465,hip_dysplasia,moderate
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,44,17,tick_borne_disease,severe
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185,623,dental_disease,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149,12,ear_infection,mild
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19,5,kennel_cough,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,138,3,urinary_tract_infection,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,104,3,urinary_tract_infection,moderate
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,parvovirus,emergency
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,parvovirus,emergency
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,36,intestinal_parasites,moderate
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,gastroenteritis,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,gastroenteritis,moderate
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141,2,kennel_cough,mild
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,114,9,conjunctivitis,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,62,23,mange,moderate
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,152,8,conjunctivitis,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,20,intestinal_parasites,moderate
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10,73,mange,moderate
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,parvovirus,emergency
1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,101,10,urinary_tract_infection,moderate
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,83,14,tick_borne_disease,severe
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,5,kennel_cough,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,gastroenteritis,moderate
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,14,kennel_cough,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,93,337,dental_disease,mild
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,92,96,environmental_allergies,mild
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,157,13,ear_infection,mild
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,4,conjunctivitis,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,gastroenteritis,moderate
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,92,789,dental_disease,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,22,46,mange,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,147,735,obesity_related_strain,mild
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63,817,obesity_related_strain,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,173,8,urinary_tract_infection,moderate
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,183,9,conjunctivitis,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,24,anxiety_behavioral,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,155,6,conjunctivitis,mild
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,34,79,environmental_allergies,mild
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,143,1,heatstroke,emergency
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,86,773,obesity_related_strain,mild
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122,5,kennel_cough,mild
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,154,1,bloat_gdv,emergency
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,147,861,obesity_related_strain,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,172,5,urinary_tract_infection,moderate
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,anxiety_behavioral,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,93,hip_dysplasia,moderate
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,135,8,ear_infection,mild
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,33,intestinal_parasites,moderate
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28,2,ear_infection,mild
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,149,150,environmental_allergies,mild
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,9,kennel_cough,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177,231,hip_dysplasia,moderate
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,134,5,ear_infection,mild
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,193,4,conjunctivitis,mild
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138,1,bloat_gdv,emergency
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,25,anxiety_behavioral,mild
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,85,669,hypothyroidism,moderate
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,parvovirus,emergency
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,parvovirus,emergency
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,70,anxiety_behavioral,mild
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,24,27,environmental_allergies,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,93,3,urinary_tract_infection,moderate
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,141,12,tick_borne_disease,severe
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,4,gastroenteritis,moderate
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,88,1,heatstroke,emergency
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,1,bloat_gdv,emergency
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,156,5,kennel_cough,mild
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,145,2,kennel_cough,mild
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,188,1,bloat_gdv,emergency
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,104,416,dental_disease,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,57,4,urinary_tract_infection,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,10,intestinal_parasites,moderate
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,105,10,conjunctivitis,mild
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,92,123,environmental_allergies,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,128,555,dental_disease,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,103,45,mange,moderate
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,199,9,conjunctivitis,mild
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,110,6,tick_borne_disease,severe
1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,170,1,bloat_gdv,emergency
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,58,anxiety_behavioral,mild
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,1,bloat_gdv,emergency
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,170,anxiety_behavioral,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,gastroenteritis,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,24,intestinal_parasites,moderate
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,14,kennel_cough,mild
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,16,intestinal_parasites,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,184,17,tick_borne_disease,severe
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,199,720,osteoarthritis,moderate
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40,276,dental_disease,mild
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,165,351,hip_dysplasia,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,intestinal_parasites,moderate
0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,43,13,kennel_cough,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1,gastroenteritis,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83,24,anxiety_behavioral,mild
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,65,418,hypothyroidism,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2,gastroenteritis,moderate
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,3,conjunctivitis,mild
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,147,1,heatstroke,emergency
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191,1,bloat_gdv,emergency
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107,14,kennel_cough,mild
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,parvovirus,emergency
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,26,30,intestinal_parasites,moderate
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,497,hip_dysplasia,moderate
0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,176,115,environmental_allergies,mild
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,8,conjunctivitis,mild
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,129,238,hypothyroidism,moderate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,72,110,hypothyroidism,moderate
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107,1,heatstroke,emergency
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,90,anxiety_behavioral,mild
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,65,422,hip_dysplasia,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,52,4,urinary_tract_infection,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,4,gastroenteritis,moderate
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,parvovirus,emergency
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,72,86,hypothyroidism,moderate
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,133,1,heatstroke,emergency
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,102,323,osteoarthritis,moderate
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,175,115,environmental_allergies,mild
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92,14,kennel_cough,mild
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,104,714,hypothyroidism,moderate
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,116,51,environmental_allergies,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,136,402,obesity_related_strain,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,75,23,mange,moderate
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,141,170,dental_disease,mild
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,conjunctivitis,mild
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,186,331,hypothyroidism,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,28,intestinal_parasites,moderate
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,4,gastroenteritis,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,163,anxiety_behavioral,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,155,576,dental_disease,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,parvovirus,emergency
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,20,49,mange,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146,30,hip_dysplasia,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,44,2,urinary_tract_infection,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,639,osteoarthritis,moderate
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,164,124,environmental_allergies,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,162,4,urinary_tract_infection,moderate
1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,parvovirus,emergency
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,23,anxiety_behavioral,mild
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,89,1,heatstroke,emergency
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,72,3,conjunctivitis,mild
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,35,intestinal_parasites,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,68,759,hypothyroidism,moderate
1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,174,1,heatstroke,emergency
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,60,intestinal_parasites,moderate
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,692,dental_disease,mild
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,5,conjunctivitis,mild
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,95,703,osteoarthritis,moderate
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,122,1,heatstroke,emergency
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,7,urinary_tract_infection,moderate
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,161,175,environmental_allergies,mild
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,70,10,conjunctivitis,mild
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,8,kennel_cough,mild
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,125,9,ear_infection,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,125,138,obesity_related_strain,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,121,340,dental_disease,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,33,73,mange,moderate
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,128,1,bloat_gdv,emergency
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,63,1,heatstroke,emergency
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,165,164,environmental_allergies,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172,100,hip_dysplasia,moderate
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98,1,bloat_gdv,emergency
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106,2,gastroenteritis,moderate
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,184,567,obesity_related_strain,mild
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,180,13,kennel_cough,mild
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,161,1,heatstroke,emergency
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,85,183,hypothyroidism,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,24,intestinal_parasites,moderate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,90,483,hypothyroidism,moderate
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,88,28,mange,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,intestinal_parasites,moderate
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,164,19,environmental_allergies,mild
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,77,12,tick_borne_disease,severe
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,11,kennel_cough,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,51,198,obesity_related_strain,mild
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,16,tick_borne_disease,severe
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,gastroenteritis,moderate
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,45,1,heatstroke,emergency
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,145,1,heatstroke,emergency
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,174,687,dental_disease,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,86,367,dental_disease,mild
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,186,178,osteoarthritis,moderate
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,115,892,osteoarthritis,moderate
